Gender,Age,aut1,aut2,aut3,aut4,com1,com2,com3,com4,rel1,rel2,rel3,rel4,CI1,CI2,CI3,CI4,CI5,CI6,PE1,PE2,PE3,PE4,PE5,PE6,ach1,ach2,self-perc
2,24,5,4,3,5,5,3,4,4,2,4,3,1,3,2,3,4,4,4,3,5,4,4,3,4,3,4,5
1,25,4,4,4,4,5,3,3,5,5,5,5,5,4,4,4,4,5,5,2,2,4,5,5,5,3.6,4,4
2,25,2,2,2,2,4,3,4,4,4,4,2,4,4,2,2,3,2,2,3,4,3,4,5,5,3.6,4,5
2,25,5,5,5,5,5,4,3,5,3,3,3,3,4,3,3,3,4,3,5,3,5,5,5,3,3.6,4,4
2,25,5,5,5,4,4,4,3,4,2,4,2,2,4,4,4,4,4,4,4,4,2,3,4,4,3,3,3
1,25,5,4,4,4,5,5,5,5,4,4,5,4,3,2,3,3,3,2,4,5,5,5,5,5,4.6,6,4
1,25,4,4,4,2,5,3,2,4,2,1,4,3,4,5,5,5,4,4,2,3,3,2,4,4,3.6,2,2
2,25,5,4,2,5,4,4,4,5,4,4,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3.2,4,2
2,25,5,4,2,5,5,2,5,4,3,3,4,4,4,4,1,3,2,2,4,4,5,5,5,5,3.4,3,4
2,25,5,3,4,4,5,1,4,4,1,1,3,1,5,4,5,5,5,4,1,3,4,2,4,4,2.8,3,1
2,25,5,4,4,2,5,5,3,3,1,2,2,2,5,5,5,5,4,5,3,3,4,4,4,4,3.4,4,3
1,25,5,5,5,5,5,4,4,5,2,5,3,3,3,1,2,1,5,5,5,2,5,5,1,1,3.2,4,3
1,25,5,5,5,5,3,3,4,4,5,3,5,5,4,2,5,4,2,4,4,4,4,4,4,4,4.4,3,4
1,25,5,4,4,3,3,4,3,3,4,3,3,4,3,2,2,3,3,3,4,4,4,4,3,4,3.6,4,4
2,25,5,5,5,4,4,5,4,5,4,4,4,5,5,5,5,5,4,4,5,4,4,5,4,4,5,5,5
1,25,4,4,4,4,5,3,3,5,5,5,5,5,4,4,4,4,5,5,2,2,4,5,5,5,3.6,4,4
2,25,2,2,2,2,4,3,4,4,4,4,2,4,4,2,2,3,2,2,3,4,3,4,5,5,3.6,3,4
1,25,4,4,4,4,5,3,3,5,5,5,5,5,4,4,4,4,5,5,2,2,4,5,5,5,3.6,4,3
2,25,2,2,2,2,4,3,4,4,4,4,2,4,4,2,2,3,2,2,3,4,3,4,5,5,3.6,4,3
1,26,5,5,5,5,3,3,4,4,3,3,4,4,3,2,3,5,4,4,5,4,3,3,3,4,3.6,4,3
2,26,4,4,4,4,5,5,5,4,3,5,5,5,4,2,4,3,3,3,3,4,5,5,4,4,4,4,4
1,26,5,3,3,5,5,5,3,5,3,4,4,4,2,2,3,4,4,3,3,3,3,3,3,4,4.2,5,4
2,26,5,5,5,4,5,4,5,5,4,5,4,4,3,1,4,3,5,5,5,4,5,5,5,5,4,3,4
2,26,5,4,5,4,4,1,2,4,2,2,5,4,5,3,5,2,2,2,2,5,4,4,5,5,5,5,5
2,26,3,4,3,2,4,3,3,4,3,4,4,4,4,4,3,4,3,4,4,5,3,4,4,4,3.8,4,3
1,26,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5
1,26,5,4,4,3,4,4,4,4,3,3,3,4,3,2,5,5,2,2,3,3,3,3,3,3,5,4,4
1,26,5,5,5,5,3,3,4,4,3,3,4,4,3,2,3,5,4,4,5,4,3,3,3,4,3.6,4,4
1,27,5,4,3,3,5,3,3,3,5,3,4,4,3,2,3,3,3,3,5,5,5,5,4,4,3.6,4,4
2,27,5,4,4,5,5,4,4,4,4,5,3,3,3,1,3,2,3,3,5,5,5,5,5,5,3.8,6,4
2,27,5,4,2,4,5,2,4,5,1,1,1,1,4,1,4,3,5,5,5,5,5,5,5,5,3.8,3,4
1,27,5,4,3,3,5,3,3,3,5,3,4,4,3,2,3,3,3,3,5,5,5,5,4,4,3.6,5,3
2,27,4,2,4,3,4,3,4,4,3,3,2,3,4,5,5,4,4,5,2,3,4,2,2,4,3,4,4
2,27,4,2,4,3,4,3,4,4,3,3,2,3,4,5,5,4,4,5,2,3,4,2,2,4,3,4,4
1,28,5,5,4,2,5,4,2,4,4,2,3,4,4,2,4,4,4,4,2,2,4,2,3,4,3.8,4,4
2,28,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,3,4,3,4,4,3.4,5,3
2,28,5,5,5,5,4,3,4,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,3,3,4,3,4
2,28,5,5,5,5,5,5,5,5,3,5,5,5,3,1,1,2,1,3,5,5,5,5,3,4,3.6,4,2
1,28,5,5,4,5,5,3,5,5,4,3,3,3,3,3,4,5,2,3,3,3,3,4,3,3,2.8,3,2
2,28,5,5,5,5,5,5,5,5,5,5,5,4,4,1,2,1,3,2,4,5,5,5,5,5,4.6,6,5
2,28,5,5,5,5,5,4,5,5,5,2,2,5,2,2,2,2,4,2,4,4,5,5,4,4,5,3,4
2,28,5,3,3,5,5,3,5,5,4,3,3,4,4,3,5,4,5,5,4,3,4,5,4,5,3.2,2,1
1,28,4,4,3,2,4,4,4,4,3,3,5,5,2,2,4,2,2,2,4,4,4,4,4,4,4,4,2
2,29,4,3,4,2,4,4,4,4,3,3,3,3,4,4,4,4,3,5,4,4,5,5,5,5,2.2,2,3
1,29,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,3,4,3,4,4,3,3,4,4,3
2,29,4,5,5,4,5,5,4,4,5,4,5,4,2,2,2,2,2,2,3,1,4,3,2,4,4.8,5,4
1,29,5,4,4,3,5,5,5,5,5,5,5,5,2,1,1,1,1,1,5,5,4,5,2,5,5,6,5
2,29,5,5,5,5,5,4,5,5,5,5,5,4,2,1,2,2,3,4,4,5,4,4,3,5,3.2,6,4
2,29,4,3,4,2,4,4,4,4,3,3,3,3,4,4,4,4,3,5,4,4,5,5,5,5,2.2,2,2
1,29,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,3,4,3,4,4,3,3,4,4,4
2,29,4,5,5,4,5,5,4,4,5,4,5,4,2,2,2,2,2,2,3,1,4,3,2,4,4.8,5,5
1,29,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,3,4,3,4,4,3,3,4,4,3
2,29,4,5,5,4,5,5,4,4,5,4,5,4,2,2,2,2,2,2,3,1,4,3,2,4,4.8,5,5
1,30,5,3,5,4,4,4,3,3,5,4,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3.8,4,3
2,30,5,3,3,5,4,4,4,4,4,4,5,3,2,2,2,2,3,2,4,4,4,4,4,3,3.8,5,4
2,30,4,4,3,4,4,2,3,3,2,1,4,4,5,5,5,5,5,3,2,2,3,3,2,3,2.4,4,2
2,30,5,5,5,5,5,5,5,4,4,3,5,5,3,2,2,2,2,2,4,5,5,3,4,4,4.4,4,2
2,30,5,5,5,5,5,5,5,5,5,4,5,5,1,1,1,4,3,3,5,5,5,5,5,5,5,6,3
1,30,5,3,5,4,4,4,3,3,5,4,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3.8,5,4
1,30,5,3,5,4,4,4,3,3,5,4,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3.8,4,4
2,31,5,4,5,5,5,2,2,3,3,2,2,2,3,3,4,3,4,2,3,3,4,3,4,4,3.6,4,3
1,31,5,1,1,5,5,5,5,5,5,5,5,5,3,1,1,1,4,4,5,5,5,5,5,5,5,4,4
1,32,5,4,5,4,4,3,4,4,3,3,5,4,5,5,5,5,5,5,3,4,5,4,4,5,4,4,4
1,32,5,5,5,5,4,5,4,3,4,3,4,2,5,5,5,5,5,5,1,3,4,4,3,5,3,4,4
2,32,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,4,5,5,5,5,5,5,5,5,3,4
1,32,5,4,5,4,4,3,4,4,3,3,5,4,5,5,5,5,5,5,3,4,5,4,4,5,4,4,4
1,32,5,4,5,4,4,3,4,4,3,3,5,4,5,5,5,5,5,5,3,4,5,4,4,5,4,4,4
2,33,5,4,4,4,5,4,5,5,4,4,4,4,4,2,4,4,4,4,2,2,2,4,4,2,3.4,5,4
