	Unnamed: 0	author	published_at	updated_at	like_count	text	newtext
1923	53.0	rosovisimeon5583	2023-05-31T10:00:31Z	2023-05-31T10:00:31Z	2	 That fake laugh from dad	That fake laugh from dad
1924	54.0	fonsandra4768	2023-05-31T09:39:58Z	2023-05-31T09:39:58Z	1	Me watching and also eating rice and stew with dodo( plantains) and fried fishGood appetite to us	Me watching and also eating rice and stew with dodo( plantains) and fried fishGood appetite to us
1925	55.0	ndemanupaul9795	2023-05-31T08:57:43Z	2023-05-31T08:57:43Z	2	May God bless this prank with 1.5M views !!!!	May God bless this prank with 1.5M views !!!!
1926	56.0	darrellh1084	2023-05-31T08:19:27Z	2023-05-31T08:19:27Z	1	Got you good 	Got you good
1927	57.0	successanekwe7430	2023-05-31T07:52:41Z	2023-05-31T07:52:59Z	0	This Michelle of a girlWhen i saw the notification I thought &quot;I hope Michelle didn&#39;t put him up to this?&quot; And then boom! I heard her voice in the intro 	This Michelle of a girlWhen i saw the notification I thought &quot;I hope Michelle didn&#39;t put him up to this?&quot; And then boom! I heard her voice in the intro
1928	58.0	tkan1909	2023-05-31T07:18:05Z	2023-05-31T07:18:05Z	2	Ayy uncle Jonny back with a banger. Come on!	Ayy uncle Jonny back with a banger. Come on!
1929	59.0	vidashkitchen5833	2023-05-31T06:18:56Z	2023-05-31T06:18:56Z	1	That was so funny	That was so funny
1930	60.0	BlancaSeriestv	2023-05-31T05:57:57Z	2023-05-31T05:57:57Z	3	Michelle banger 	Michelle banger
1931	61.0	marywaweru50	2023-05-31T04:35:35Z	2023-05-31T04:35:35Z	1	Watching you always from KENYA	Watching you always from KENYA
1932	62.0	lungilebhengu7454	2023-05-31T03:39:56Z	2023-05-31T03:39:56Z	5	Congratulations Mitchell! Done it again. You are definitely made of SOMETHING UNIQUE. NONE CAN COMPARE. A HIGHLY CREATIVE YOUNG WOMAN. I LIKED JOHN&#39;S SENSE OF HUMOUR! THE KING WAS PRANKED!!	Congratulations Mitchell! Done it again. You are definitely made of SOMETHING UNIQUE. NONE CAN COMPARE. A HIGHLY CREATIVE YOUNG WOMAN. I LIKED JOHN&#39;S SENSE OF HUMOUR! THE KING WAS PRANKED!!
1933	63.0	inspiringyoutobecompletely9948	2023-05-31T03:38:19Z	2023-05-31T03:38:19Z	3	John is all in the family now	John is all in the family now
1934	64.0	inspiringyoutobecompletely9948	2023-05-31T03:27:06Z	2023-05-31T03:27:06Z	1	John survived lol John love the food though lol	John survived lol John love the food though lol
1935	67.0	adriennewilliams8597	2023-05-31T03:15:53Z	2023-05-31T03:15:53Z	2	Nice job John	Nice job John
1936	69.0	Nurnur18007	2023-05-31T02:57:53Z	2023-05-31T02:57:53Z	1	Do spicy noodle challenge w Ur friend ­	Do spicy noodle challenge w You Are friend ­
1937	70.0	aminamohamed7703	2023-05-31T02:30:16Z	2023-05-31T02:30:16Z	13	I felt the second hand embarrassment for him­even thought is fine	I felt the second hand embarrassment for him­even thought is fine
1938	71.0	EssieEsther7	2023-05-31T02:29:15Z	2023-05-31T02:29:15Z	1	More John we love John 	More John we love John 
1939	72.0	leonnileo	2023-05-31T01:17:15Z	2023-05-31T01:17:15Z	1	Love you guys	Love you guys
1940	73.0	treniseallen	2023-05-30T23:53:58Z	2023-05-30T23:53:58Z	1	Where do we give prank suggestions?	Where do we give prank suggestions?
1941	74.0	ivoryjenkins5294	2023-05-30T23:43:12Z	2023-05-30T23:43:12Z	3	What a good prank John got you good with the help of your daughter.Have a Great Bless day	What a good prank John got you good with the help of your daughter.Have a Great Bless day
1942	75.0	Rose91.	2023-05-30T23:25:58Z	2023-05-30T23:25:58Z	0	Lol	Lol
1943	76.0	ijeomafranca8678	2023-05-30T23:07:03Z	2023-05-30T23:07:03Z	9	John is now a PRANKSTER and he executed it well. Michelle is the REAL DEAL.  Dad John got you	John is now a PRANKSTER and he executed it well. Michelle is the REAL DEAL. Dad John got you
1944	77.0	danyellhollis5563	2023-05-30T22:57:11Z	2023-05-30T22:57:11Z	0	This was ok	This was ok
1945	78.0	TeniolaTheLady	2023-05-30T22:43:01Z	2023-05-30T22:43:01Z	0	Raise your hand if you love every vidoe they post	Raise your hand if you love every vidoe they post
1946	80.0	onlyykhadijah	2023-05-30T21:54:23Z	2023-05-30T21:54:23Z	1	I think we have just found a new prank king	I think we have just found a new prank king
1947	81.0	winstonigwe8179	2023-05-30T21:39:26Z	2023-05-30T21:39:26Z	5	Also every time that someone that isnt Michelle pranks someone else I feel like that person gets the idea from Michelle to do the prank.	Also every time that someone that is not Michelle pranks someone else I feel like that person gets the idea from Michelle to do the prank.
1948	82.0	winstonigwe8179	2023-05-30T21:38:10Z	2023-05-30T21:38:10Z	5	He said he will never tell. We know that its Michelle.	He said he will never tell. We know that its Michelle.
1949	84.0	stellantim7383	2023-05-30T21:09:52Z	2023-05-30T21:09:52Z	4	Why is Jhon shaking	Why is Jhon shaking
1950	85.0	berniceahinful5189	2023-05-30T20:52:13Z	2023-05-30T20:52:13Z	4	Love dads diplomacybut beautiful prank with lots of lessons.	Love dads diplomacybut beautiful prank with lots of lessons.
1951	87.0	ambajanth1695	2023-05-30T20:34:32Z	2023-05-30T20:34:32Z	0	Am %80 sure he might be married to an Africa (Nigerian)	Am %80 sure he might be married to an Africa (Nigerian)
1952	89.0	ellamanning7222	2023-05-30T20:28:50Z	2023-06-02T16:09:38Z	10	Dang Kelvin!!! Now your friends are pranking you  You can&#39;t get away from the pranks.	Dang Kelvin!!! Now your friends are pranking you You can&#39;t get away from the pranks.
1953	90.0	ndemanupaul9795	2023-05-30T20:27:19Z	2023-05-30T20:27:19Z	4	We call it stew say it	We call it stew say it
1954	91.0	ambajanth1695	2023-05-30T20:26:44Z	2023-05-30T20:26:44Z	3	Soooo African we cook so much meat in one dish I love it	Soooo African we cook so much meat in one dish I love it
1955	92.0	ellamanning7222	2023-05-30T20:25:04Z	2023-05-30T20:25:04Z	0	Fish is healthier	Fish is healthier
1956	93.0	konamahafialucy-ce4bh	2023-05-30T20:23:01Z	2023-05-30T20:23:01Z	1	Nice	Nice
1957	94.0	godisgoodallthetime7340	2023-05-30T20:20:20Z	2023-05-30T20:20:20Z	1	Nice one!	Nice one!
1958	96.0	maroagbanobi9700	2023-05-30T19:49:33Z	2023-05-30T19:49:33Z	26	It&#39;s the fake laugh for me John really nailed it.	It&#39;s the fake laugh for me John really nailed it.
1959	97.0	margretchildofGod3	2023-05-30T19:43:49Z	2023-05-30T19:43:49Z	100	The things Michelle do for us 	The things Michelle do for us
